4601,TempHumi ,26.0,61.0,21.2,1592533734
4602,TempHumi ,26.0,61.0,21.2,1592533836
4603,TempHumi ,26.0,62.0,21.2,1592533836
4604,TempHumi ,26.0,62.0,21.2,1592533845
4605,TempHumi ,26.0,59.0,21.1,1592534184
4606,TempHumi ,26.0,57.0,21.0,1592534327
4607,TempHumi ,26.0,57.0,21.0,1592534337
4608,TempHumi ,26.0,61.0,21.2,1592534384
4609,TempHumi ,26.0,62.0,21.2,1592534384
4610,TempHumi ,26.0,63.0,21.3,1592534387
4611,TempHumi ,26.0,62.0,21.2,1592534397
4612,TempHumi ,26.0,60.0,21.1,1592534468
4613,TempHumi ,26.0,60.0,21.1,1592534479
4614,TempHumi ,26.0,60.0,21.1,1592534487
4615,TempHumi ,26.0,59.0,21.1,1592534498
4616,TempHumi ,26.0,59.0,21.1,1592534508
4617,TempHumi ,26.0,59.0,21.1,1592534518
4618,TempHumi ,26.0,59.0,21.1,1592534529
4619,TempHumi ,26.0,58.0,21.0,1592534547
4620,TempHumi ,26.0,58.0,21.0,1592534558
4621,TempHumi ,-999.0,-999.0,-1156.2,1592534568
4622,TempHumi ,26.0,57.0,21.0,1592534579
4623,TempHumi ,26.0,57.0,21.0,1592534589
4624,TempHumi ,26.0,60.0,21.1,1592534627
4625,TempHumi ,26.0,58.0,21.0,1592534637
4626,TempHumi ,26.0,58.0,21.0,1592534647
4627,TempHumi ,26.0,57.0,21.0,1592534658
4628,TempHumi ,26.0,57.0,21.0,1592534676
4629,TempHumi ,26.0,57.0,21.0,1592534687
4630,TempHumi ,26.0,57.0,21.0,1592534697
4631,TempHumi ,26.0,56.0,20.9,1592534718
4632,TempHumi ,26.0,56.0,20.9,1592534726
4633,TempHumi ,26.0,56.0,20.9,1592534737
4634,TempHumi ,26.0,56.0,20.9,1592534747
4635,TempHumi ,26.0,56.0,20.9,1592534758
4636,TempHumi ,26.0,56.0,20.9,1592534768
4637,TempHumi ,26.0,56.0,20.9,1592534776
4638,TempHumi ,26.0,56.0,20.9,1592534787
4639,TempHumi ,26.0,56.0,20.9,1592534797
4640,TempHumi ,26.0,63.0,21.3,1592534808
4641,TempHumi ,26.0,63.0,21.3,1592534818
4642,TempHumi ,26.0,60.0,21.1,1592534837
4643,TempHumi ,26.0,59.0,21.1,1592534847
4644,TempHumi ,26.0,58.0,21.0,1592534858
